
     Force(N)        Displ(mm)     Strain(%)
         21448      1.663000      0.760267 
         21565      1.681000      0.782667 
         21680      1.699000      0.806933 
         21780      1.716000      0.829600 
         21878      1.734000      0.853600 
         21973      1.752000      0.878667 
         22057      1.769000      0.902667 
         22143      1.787000      0.927600 
         22220      1.805000      0.953333 
         22293      1.823000      0.979333 
         22362      1.841000      1.004933 
         22430      1.860000      1.031733 
         22492      1.878000      1.058800 
         22547      1.895000      1.084667 
         22603      1.912000      1.110400 
         22647      1.930000      1.136933 
         22693      1.948000      1.163867 
         22740      1.967000      1.192133 
         22778      1.984000      1.219333 
         22815      2.001000      1.246800 
         22847      2.018000      1.273867 
         22878      2.037000      1.302533 
         22908      2.054000      1.330800 
         22935      2.072000      1.359600 
         22962      2.090000      1.388533 
         22983      2.107000      1.416933 
         23005      2.125000      1.446000 
         23028      2.143000      1.474533 
         23043      2.161000      1.504133 
         23058      2.178000      1.533333 
         23075      2.196000      1.562400 
         23087      2.214000      1.592800 
         23102      2.231000      1.620533 
         23112      2.248000      1.649733 
         23125      2.266000      1.679600 
         23132      2.285000      1.710800 
         23143      2.302000      1.740267 
         23153      2.320000      1.770533 
         23165      2.338000      1.801067 
         23168      2.356000      1.831600 
         23177      2.374000      1.862133 
         23183      2.391000      1.892400 
         23190      2.409000      1.923067 
         23195      2.427000      1.953467 
         23200      2.445000      1.984533 
         23207      2.464000      2.015600 
         23213      2.481000      2.045600 
         23215      2.499000      2.075867 
         23225      2.517000      2.106800 
         23230      2.536000      2.138533 
         23233      2.553000      2.168133 
         23243      2.570000      2.197867 
         23243      2.588000      2.227867 
         23255      2.605000      2.258000 
         23255      2.623000      2.288000 
         23260      2.640000      2.318400 
         23262      2.657000      2.346800 
         23270      2.675000      2.376667 
         23277      2.693000      2.407067 
         23283      2.711000      2.438667 
         23285      2.728000      2.467733 
         23293      2.746000      2.497733 
         23298      2.763000      2.527867 
         23307      2.781000      2.558533 
         23310      2.799000      2.588400 
         23315      2.816000      2.618133 
         23325      2.834000      2.648667 
         23330      2.852000      2.679200 
         23337      2.870000      2.710400 
         23340      2.888000      2.739867 
         23343      2.905000      2.769600 
         23353      2.923000      2.800267 
         23358      2.941000      2.829467 
         23360      2.958000      2.858800 
         23370      2.976000      2.888533 
         23377      2.995000      2.919600 
         23383      3.012000      2.948933 
         23390      3.030000      2.978400 
         23395      3.048000      3.008400 
         23405      3.065000      3.037733 
         23408      3.083000      3.067600 
         23415      3.100000      3.096400 
         23422      3.118000      3.125867 
         23425      3.135000      3.154933 
         23432      3.153000      3.183733 
         23437      3.170000      3.212400 
         23447      3.187000      3.241333 
         23452      3.205000      3.270533 
         23457      3.223000      3.300133 
         23462      3.240000      3.328533 
         23468      3.258000      3.357867 
         23475      3.275000      3.386667 
         23483      3.293000      3.416267 
         23488      3.310000      3.446000 
         23500      3.329000      3.477067 
         23503      3.348000      3.500000 
         23508      3.365000      3.500000 
         23513      3.383000      3.500000 
         23520      3.401000      3.500000 
         23370      3.408000      3.500000 
         23190      3.407000      3.500000 
         23077      3.407000      3.500000 
         23002      3.407000      3.500000 
         22945      3.407000      3.500000 
         22903      3.407000      3.500000 
         22868      3.407000      3.500000 
         22838      3.407000      3.500000 
         22813      3.407000      3.500000 
         22788      3.407000      3.500000 
         22768      3.407000      3.500000 
         22750      3.407000      3.500000 
         22733      3.407000      3.500000 
         22718      3.407000      3.500000 
         22703      3.407000      3.500000 
         22690      3.407000      3.500000 
         22680      3.407000      3.500000 
         22668      3.407000      3.500000 
         22658      3.407000      3.500000 
         22648      3.407000      3.500000 
         22640      3.407000      3.500000 
         22630      3.407000      3.500000 
         22622      3.407000      3.500000 
         22615      3.407000      3.500000 
         22743      3.416000      3.500000 
         23173      3.434000      3.500000 
         23473      3.452000      3.500000 
         23647      3.470000      3.500000 
         23720      3.488000      3.500000 
         23735      3.505000      3.500000 
         23717      3.524000      3.500000 
         23693      3.541000      3.500000 
         23675      3.559000      3.500000 
         23662      3.576000      3.500000 
         23653      3.594000      3.500000 
         23648      3.612000      3.500000 
         23647      3.629000      3.500000 
         23643      3.647000      3.500000 
         23643      3.665000      3.500000 
         23645      3.683000      3.500000 
         23640      3.700000      3.500000 
         23648      3.719000      3.500000 
         23647      3.736000      3.500000 
         23652      3.755000      3.500000 
         23658      3.771000      3.500000 
         23665      3.790000      3.500000 
         23667      3.807000      3.500000 
         23673      3.825000      3.500000 
         23673      3.843000      3.500000 
         23678      3.861000      3.500000 
         23687      3.878000      3.500000 
         23692      3.896000      3.500000 
         23695      3.914000      3.500000 
         23697      3.932000      3.500000 
         23705      3.949000      3.500000 
         23712      3.967000      3.500000 
         23712      3.985000      3.500000 
         23720      4.003000      3.500000 
         23727      4.021000      3.500000 
         23728      4.039000      3.500000 
         23737      4.056000      3.500000 
         23742      4.074000      3.500000 
         23748      4.092000      3.500000 
         23748      4.109000      3.500000 
         23757      4.127000      3.500000 
         23758      4.144000      3.500000 
         23762      4.161000      3.500000 
         23772      4.180000      3.500000 
         23773      4.198000      3.500000 
         23777      4.216000      3.500000 
         23787      4.234000      3.500000 
         23793      4.252000      3.500000 
         23795      4.269000      3.500000 
         23803      4.287000      3.500000 
         23808      4.306000      3.500000 
         23812      4.323000      3.500000 
         23815      4.341000      3.500000 
         23818      4.359000      3.500000 
         23828      4.376000      3.500000 
         23830      4.394000      3.500000 
         23835      4.412000      3.500000 
         23840      4.431000      3.500000 
         23845      4.448000      3.500000 
         23850      4.466000      3.500000 
         23860      4.484000      3.500000 
         23860      4.501000      3.500000 
         23870      4.519000      3.500000 
         23872      4.537000      3.500000 
         23875      4.555000      3.500000 
         23880      4.572000      3.500000 
         23885      4.590000      3.500000 
         23888      4.608000      3.500000 
         23893      4.626000      3.500000 
         23900      4.644000      3.500000 
         23903      4.662000      3.500000 
         23908      4.681000      3.500000 
         23912      4.697000      3.500000 
         23920      4.715000      3.500000 
         23925      4.734000      3.500000 
         23928      4.752000      3.500000 
         23928      4.769000      3.500000 
         23938      4.787000      3.500000 
         23940      4.804000      3.500000 
         23945      4.822000      3.500000 
         23948      4.840000      3.500000 
         23953      4.858000      3.500000 
         23955      4.876000      3.500000 
         23960      4.894000      3.500000 
         23967      4.912000      3.500000 
         23972      4.929000      3.500000 
         23975      4.946000      3.500000 
         23978      4.964000      3.500000 
         23987      4.982000      3.500000 
         23988      4.999000      3.500000 
         23997      5.017000      3.500000 
         23997      5.035000      3.500000 
         23998      5.051000      3.500000 
         24003      5.069000      3.500000 
         24012      5.087000      3.500000 
         24013      5.104000      3.500000 
         24013      5.122000      3.500000 
         24020      5.141000      3.500000 
         24025      5.159000      3.500000 
         24032      5.176000      3.500000 
         24032      5.193000      3.500000 
         24040      5.211000      3.500000 
         24040      5.229000      3.500000 
         24047      5.246000      3.500000 
         24048      5.264000      3.500000 
         24057      5.281000      3.500000 
         24058      5.299000      3.500000 
         24063      5.316000      3.500000 
         24065      5.334000      3.500000 
         24070      5.351000      3.500000 
         24075      5.369000      3.500000 
         24080      5.386000      3.500000 
         24082      5.404000      3.500000 
         24088      5.423000      3.500000 
         24095      5.440000      3.500000 
         24098      5.458000      3.500000 
         24105      5.476000      3.500000 
         24108      5.493000      3.500000 
         24112      5.511000      3.500000 
         24117      5.529000      3.500000 
         24118      5.547000      3.500000 
         24128      5.564000      3.500000 
         24130      5.583000      3.500000 
         24135      5.601000      3.500000 
         24143      5.619000      3.500000 
         24148      5.637000      3.500000 
         24152      5.654000      3.500000 
         24160      5.672000      3.500000 
         24162      5.689000      3.500000 
         24172      5.708000      3.500000 
         24175      5.725000      3.500000 
         24180      5.743000      3.500000 
         24187      5.761000      3.500000 
         24188      5.779000      3.500000 
         24195      5.796000      3.500000 
         24200      5.814000      3.500000 
         24205      5.831000      3.500000 
         24213      5.850000      3.500000 
         24218      5.867000      3.500000 
         24222      5.884000      3.500000 
         24233      5.902000      3.500000 
         24237      5.920000      3.500000 
         24243      5.937000      3.500000 
         24243      5.955000      3.500000 
         24252      5.973000      3.500000 
         24257      5.991000      3.500000 
         24262      6.008000      3.500000 
         24267      6.026000      3.500000 
         24272      6.044000      3.500000 
         24277      6.062000      3.500000 
         24285      6.079000      3.500000 
         24285      6.097000      3.500000 
         24295      6.115000      3.500000 
         24300      6.133000      3.500000 
         24303      6.150000      3.500000 
         24313      6.168000      3.500000 
         24315      6.186000      3.500000 
         24322      6.203000      3.500000 
         24328      6.222000      3.500000 
         24328      6.239000      3.500000 
         24330      6.257000      3.500000 
         24340      6.275000      3.500000 
         24347      6.294000      3.500000 
         24350      6.311000      3.500000 
         24355      6.328000      3.500000 
         24358      6.346000      3.500000 
         24367      6.364000      3.500000 
         24367      6.381000      3.500000 
         24373      6.399000      3.500000 
         24378      6.415000      3.500000 
         24385      6.433000      3.500000 
         24388      6.451000      3.500000 
         24390      6.469000      3.500000 
         24397      6.487000      3.500000 
         24402      6.504000      3.500000 
         24407      6.522000      3.500000 
         24407      6.540000      3.500000 
         24413      6.557000      3.500000 
         24423      6.575000      3.500000 
         24428      6.593000      3.500000 
         24428      6.610000      3.500000 
         24440      6.629000      3.500000 
         24443      6.646000      3.500000 
         24445      6.664000      3.500000 
         24452      6.682000      3.500000 
         24455      6.700000      3.500000 
         24460      6.717000      3.500000 
         24467      6.736000      3.500000 
         24472      6.753000      3.500000 
         24480      6.772000      3.500000 
         24485      6.790000      3.500000 
         24488      6.807000      3.500000 
         24498      6.825000      3.500000 
         24502      6.842000      3.500000 
         24510      6.860000      3.500000 
         24517      6.879000      3.500000 
         24518      6.896000      3.500000 
         24525      6.914000      3.500000 
         24532      6.933000      3.500000 
         24537      6.950000      3.500000 
         24543      6.967000      3.500000 
         24550      6.985000      3.500000 
         24557      7.003000      3.500000 
         24560      7.020000      3.500000 
         24568      7.038000      3.500000 
         24577      7.055000      3.500000 
         24578      7.072000      3.500000 
         24587      7.090000      3.500000 
         24592      7.108000      3.500000 
         24597      7.126000      3.500000 
         24605      7.144000      3.500000 
         24610      7.162000      3.500000 
         24617      7.180000      3.500000 
         24623      7.198000      3.500000 
         24628      7.215000      3.500000 
         24633      7.233000      3.500000 
         24645      7.252000      3.500000 
         24648      7.269000      3.500000 
         24657      7.287000      3.500000 
         24662      7.305000      3.500000 
         24665      7.322000      3.500000 
         24670      7.340000      3.500000 
         24677      7.357000      3.500000 
         24683      7.375000      3.500000 
         24688      7.393000      3.500000 
         24695      7.410000      3.500000 
         24698      7.428000      3.500000 
         24702      7.445000      3.500000 
         24713      7.464000      3.500000 
         24725      7.481000      3.500000 
         24728      7.499000      3.500000 
         24733      7.518000      3.500000 
         24737      7.535000      3.500000 
         24745      7.553000      3.500000 
         24748      7.571000      3.500000 
         24755      7.588000      3.500000 
         24762      7.606000      3.500000 
         24767      7.624000      3.500000 
         24772      7.641000      3.500000 
         24780      7.658000      3.500000 
         24785      7.676000      3.500000 
         24793      7.694000      3.500000 
         24803      7.713000      3.500000 
         24802      7.729000      3.500000 
         24810      7.747000      3.500000 
         24820      7.765000      3.500000 
         24825      7.782000      3.500000 
         24830      7.801000      3.500000 
         24837      7.818000      3.500000 
         24842      7.836000      3.500000 
         24852      7.853000      3.500000 
         24855      7.870000      3.500000 
         24863      7.889000      3.500000 
         24868      7.906000      3.500000 
         24875      7.924000      3.500000 
         24882      7.941000      3.500000 
         24890      7.959000      3.500000 
         24900      7.976000      3.500000 
         24902      7.995000      3.500000 
         24907      8.013000      3.500000 
         24915      8.031000      3.500000 
         24920      8.048000      3.500000 
         24930      8.065000      3.500000 
         24933      8.083000      3.500000 
         24938      8.100000      3.500000 
         24948      8.119000      3.500000 
         24953      8.136000      3.500000 
         24960      8.154000      3.500000 
         24967      8.173000      3.500000 
         24973      8.190000      3.500000 
         24983      8.208000      3.500000 
         24990      8.226000      3.500000 
         24997      8.244000      3.500000 
         25002      8.262000      3.500000 
         25007      8.279000      3.500000 
         25015      8.297000      3.500000 
         25020      8.315000      3.500000 
         25027      8.333000      3.500000 
         25032      8.351000      3.500000 
         25040      8.369000      3.500000 
         25045      8.387000      3.500000 
         25055      8.404000      3.500000 
         25060      8.423000      3.500000 
         25070      8.441000      3.500000 
         25072      8.458000      3.500000 
         25080      8.476000      3.500000 
         25085      8.494000      3.500000 
         25093      8.511000      3.500000 
         25093      8.529000      3.500000 
         25100      8.546000      3.500000 
         25105      8.564000      3.500000 
         25115      8.582000      3.500000 
         25120      8.600000      3.500000 
         25127      8.618000      3.500000 
         25130      8.635000      3.500000 
         25135      8.653000      3.500000 
         25148      8.671000      3.500000 
         25152      8.689000      3.500000 
         25157      8.707000      3.500000 
         25163      8.725000      3.500000 
         25167      8.743000      3.500000 
         25172      8.761000      3.500000 
         25178      8.779000      3.500000 
         25187      8.797000      3.500000 
         25192      8.815000      3.500000 
         25198      8.832000      3.500000 
         25202      8.851000      3.500000 
         25212      8.868000      3.500000 
         25215      8.886000      3.500000 
         25222      8.903000      3.500000 
         25228      8.921000      3.500000 
         25232      8.938000      3.500000 
         25242      8.956000      3.500000 
         25245      8.973000      3.500000 
         25250      8.991000      3.500000 
         25255      9.009000      3.500000 
         25265      9.026000      3.500000 
         25272      9.044000      3.500000 
         25277      9.061000      3.500000 
         25282      9.079000      3.500000 
         25292      9.096000      3.500000 
         25295      9.114000      3.500000 
         25305      9.131000      3.500000 
         25313      9.149000      3.500000 
         25322      9.166000      3.500000 
         25327      9.184000      3.500000 
         25332      9.201000      3.500000 
         25338      9.219000      3.500000 
         25343      9.236000      3.500000 
         25350      9.254000      3.500000 
         25358      9.272000      3.500000 
         25363      9.290000      3.500000 
         25373      9.308000      3.500000 
         25378      9.326000      3.500000 
         25387      9.344000      3.500000 
         25393      9.362000      3.500000 
         25398      9.379000      3.500000 
         25408      9.398000      3.500000 
         25412      9.415000      3.500000 
         25420      9.432000      3.500000 
         25425      9.450000      3.500000 
         25430      9.468000      3.500000 
         25440      9.485000      3.500000 
         25443      9.504000      3.500000 
         25450      9.521000      3.500000 
         25455      9.539000      3.500000 
         25462      9.556000      3.500000 
         25470      9.574000      3.500000 
         25477      9.592000      3.500000 
         25482      9.609000      3.500000 
         25492      9.626000      3.500000 
         25493      9.644000      3.500000 
         25505      9.662000      3.500000 
         25505      9.679000      3.500000 
         25513      9.696000      3.500000 
         25518      9.714000      3.500000 
         25523      9.732000      3.500000 
         25530      9.749000      3.500000 
         25533      9.767000      3.500000 
         25542      9.784000      3.500000 
         25547      9.802000      3.500000 
         25552      9.819000      3.500000 
         25557      9.837000      3.500000 
         25565      9.856000      3.500000 
         25573      9.873000      3.500000 
         25580      9.891000      3.500000 
         25582      9.909000      3.500000 
         25592      9.926000      3.500000 
         25595      9.944000      3.500000 
         25602      9.962000      3.500000 
         25607      9.979000      3.500000 
         25612      9.996000      3.500000 
         25618     10.014000      3.500000 
         25625     10.032000      3.500000 
         25630     10.050000      3.500000 
         25637     10.068000      3.500000 
         25645     10.086000      3.500000 
         25650     10.103000      3.500000 
         25660     10.120000      3.500000 
         25662     10.138000      3.500000 
         25673     10.156000      3.500000 
         25675     10.173000      3.500000 
         25685     10.191000      3.500000 
         25690     10.209000      3.500000 
         25700     10.227000      3.500000 
         25705     10.244000      3.500000 
         25710     10.263000      3.500000 
         25718     10.281000      3.500000 
         25727     10.299000      3.500000 
         25733     10.317000      3.500000 
         25740     10.335000      3.500000 
         25752     10.352000      3.500000 
         25755     10.370000      3.500000 
         25762     10.387000      3.500000 
         25765     10.405000      3.500000 
         25773     10.423000      3.500000 
         25780     10.441000      3.500000 
         25788     10.458000      3.500000 
         25793     10.477000      3.500000 
         25800     10.493000      3.500000 
         25807     10.511000      3.500000 
         25815     10.529000      3.500000 
         25822     10.546000      3.500000 
         25828     10.565000      3.500000 
         25837     10.582000      3.500000 
         25842     10.600000      3.500000 
         25847     10.617000      3.500000 
         25857     10.635000      3.500000 
         25862     10.652000      3.500000 
         25868     10.670000      3.500000 
         25870     10.688000      3.500000 
         25877     10.705000      3.500000 
         25882     10.723000      3.500000 
         25888     10.741000      3.500000 
         25897     10.759000      3.500000 
         25900     10.776000      3.500000 
         25905     10.794000      3.500000 
         25917     10.812000      3.500000 
         25918     10.829000      3.500000 
         25928     10.848000      3.500000 
         25928     10.865000      3.500000 
         25932     10.882000      3.500000 
         25940     10.900000      3.500000 
         25940     10.918000      3.500000 
         25947     10.936000      3.500000 
         25953     10.954000      3.500000 
         25962     10.972000      3.500000 
         25965     10.989000      3.500000 
         25970     11.008000      3.500000 
         25968     11.025000      3.500000 
         25975     11.042000      3.500000 
         25983     11.060000      3.500000 
         25990     11.078000      3.500000 
         25987     11.096000      3.500000 
         25993     11.114000      3.500000 
         25998     11.132000      3.500000 
         26007     11.149000      3.500000 
         26007     11.166000      3.500000 
         26010     11.184000      3.500000 
         26017     11.203000      3.500000 
         26023     11.220000      3.500000 
         26027     11.238000      3.500000 
         26032     11.256000      3.500000 
         26040     11.273000      3.500000 
         26047     11.291000      3.500000 
         26050     11.309000      3.500000 
         26055     11.327000      3.500000 
         26062     11.345000      3.500000 
         26070     11.361000      3.500000 
         26073     11.379000      3.500000 
         26078     11.397000      3.500000 
         26085     11.415000      3.500000 
         26093     11.434000      3.500000 
         26098     11.451000      3.500000 
         26112     11.469000      3.500000 
         26117     11.487000      3.500000 
         26125     11.506000      3.500000 
         26132     11.522000      3.500000 
         26142     11.541000      3.500000 
         26150     11.558000      3.500000 
         26155     11.576000      3.500000 
         26160     11.594000      3.500000 
         26170     11.612000      3.500000 
         26177     11.629000      3.500000 
         26187     11.647000      3.500000 
         26197     11.665000      3.500000 
         26203     11.682000      3.500000 
         26215     11.701000      3.500000 
         26218     11.718000      3.500000 
         26228     11.736000      3.500000 
         26235     11.754000      3.500000 
         26238     11.772000      3.500000 
         26242     11.790000      3.500000 
         26250     11.808000      3.500000 
         26257     11.825000      3.500000 
         26265     11.843000      3.500000 
         26270     11.860000      3.500000 
         26280     11.879000      3.500000 
         26288     11.897000      3.500000 
         26290     11.915000      3.500000 
         26293     11.932000      3.500000 
         26302     11.951000      3.500000 
         26303     11.968000      3.500000 
         26310     11.985000      3.500000 
         26312     12.003000      3.500000 
         26318     12.021000      3.500000 
         26323     12.038000      3.500000 
         26328     12.056000      3.500000 
         26330     12.073000      3.500000 
         26337     12.092000      3.500000 
         26338     12.110000      3.500000 
         26345     12.127000      3.500000 
         26347     12.145000      3.500000 
         26353     12.162000      3.500000 
         26357     12.180000      3.500000 
         26358     12.197000      3.500000 
         26358     12.215000      3.500000 
         26358     12.231000      3.500000 
         26367     12.249000      3.500000 
         26373     12.267000      3.500000 
         26372     12.285000      3.500000 
         26372     12.302000      3.500000 
         26375     12.320000      3.500000 
         26380     12.338000      3.500000 
         26387     12.356000      3.500000 
         26388     12.373000      3.500000 
         26393     12.391000      3.500000 
         26393     12.408000      3.500000 
         26398     12.426000      3.500000 
         26400     12.443000      3.500000 
         26405     12.461000      3.500000 
         26410     12.479000      3.500000 
         26413     12.497000      3.500000 
         26413     12.515000      3.500000 
         26420     12.532000      3.500000 
         26425     12.549000      3.500000 
         26435     12.567000      3.500000 
         26438     12.585000      3.500000 
         26445     12.603000      3.500000 
         26455     12.621000      3.500000 
         26457     12.638000      3.500000 
         26463     12.656000      3.500000 
         26475     12.674000      3.500000 
         26478     12.692000      3.500000 
         26483     12.709000      3.500000 
         26493     12.727000      3.500000 
         26502     12.745000      3.500000 
         26508     12.762000      3.500000 
         26515     12.780000      3.500000 
         26525     12.797000      3.500000 
         26535     12.815000      3.500000 
         26540     12.832000      3.500000 
         26555     12.850000      3.500000 
         26560     12.868000      3.500000 
         26567     12.886000      3.500000 
         26577     12.904000      3.500000 
         26583     12.921000      3.500000 
         26593     12.938000      3.500000 
         26598     12.956000      3.500000 
         26603     12.973000      3.500000 
         26612     12.991000      3.500000 
         26620     13.009000      3.500000 
         26632     13.027000      3.500000 
         26637     13.046000      3.500000 
         26643     13.062000      3.500000 
         26655     13.081000      3.500000 
         26660     13.099000      3.500000 
         26663     13.116000      3.500000 
         26670     13.133000      3.500000 
         26678     13.151000      3.500000 
         26685     13.168000      3.500000 
         26690     13.186000      3.500000 
         26697     13.203000      3.500000 
         26702     13.221000      3.500000 
         26708     13.239000      3.500000 
         26713     13.257000      3.500000 
         26718     13.274000      3.500000 
         26723     13.292000      3.500000 
         26728     13.309000      3.500000 
         26733     13.327000      3.500000 
         26742     13.345000      3.500000 
         26747     13.363000      3.500000 
         26750     13.381000      3.500000 
         26753     13.399000      3.500000 
         26750     13.417000      3.500000 
         26757     13.434000      3.500000 
         26763     13.452000      3.500000 
         26765     13.470000      3.500000 
         26763     13.487000      3.500000 
         26768     13.506000      3.500000 
         26770     13.523000      3.500000 
         26777     13.541000      3.500000 
         26773     13.558000      3.500000 
         26777     13.576000      3.500000 
         26773     13.595000      3.500000 
         26778     13.612000      3.500000 
         26777     13.630000      3.500000 
         26775     13.648000      3.500000 
         26775     13.665000      3.500000 
         26777     13.684000      3.500000 
         26777     13.703000      3.500000 
         26775     13.720000      3.500000 
         26780     13.738000      3.500000 
         26780     13.756000      3.500000 
         26782     13.774000      3.500000 
         26782     13.791000      3.500000 
         26783     13.809000      3.500000 
         26783     13.827000      3.500000 
         26782     13.845000      3.500000 
         26785     13.862000      3.500000 
         26783     13.880000      3.500000 
         26787     13.899000      3.500000 
         26788     13.916000      3.500000 
         26790     13.935000      3.500000 
         26790     13.952000      3.500000 
         26793     13.970000      3.500000 
         26792     13.988000      3.500000 
         26797     14.005000      3.500000 
         26797     14.024000      3.500000 
         26797     14.041000      3.500000 
         26798     14.059000      3.500000 
         26795     14.077000      3.500000 
         26800     14.095000      3.500000 
         26802     14.113000      3.500000 
         26802     14.130000      3.500000 
         26803     14.149000      3.500000 
         26808     14.167000      3.500000 
         26803     14.184000      3.500000 
         26805     14.201000      3.500000 
         26802     14.219000      3.500000 
         26800     14.237000      3.500000 
         26790     14.254000      3.500000 
         26790     14.272000      3.500000 
         26787     14.290000      3.500000 
         26787     14.307000      3.500000 
         26790     14.325000      3.500000 
         26797     14.343000      3.500000 
         26807     14.360000      3.500000 
         26820     14.377000      3.500000 
         26830     14.395000      3.500000 
         26843     14.412000      3.500000 
         26860     14.431000      3.500000 
         26873     14.447000      3.500000 
         26888     14.465000      3.500000 
         26905     14.483000      3.500000 
         26917     14.501000      3.500000 
         26928     14.520000      3.500000 
         26943     14.536000      3.500000 
         26957     14.554000      3.500000 
         26968     14.571000      3.500000 
         26980     14.589000      3.500000 
         26987     14.606000      3.500000 
         26997     14.624000      3.500000 
         27012     14.641000      3.500000 
         27023     14.658000      3.500000 
         27033     14.677000      3.500000 
         27043     14.695000      3.500000 
         27050     14.712000      3.500000 
         27065     14.731000      3.500000 
         27068     14.748000      3.500000 
         27078     14.765000      3.500000 
         27083     14.783000      3.500000 
         27093     14.801000      3.500000 
         27098     14.818000      3.500000 
         27108     14.836000      3.500000 
         27112     14.854000      3.500000 
         27122     14.873000      3.500000 
         27127     14.890000      3.500000 
         27130     14.907000      3.500000 
         27135     14.925000      3.500000 
         27143     14.943000      3.500000 
         27152     14.960000      3.500000 
         27153     14.979000      3.500000 
         27160     14.996000      3.500000 
         27165     15.014000      3.500000 
         27165     15.032000      3.500000 
         27172     15.050000      3.500000 
         27177     15.067000      3.500000 
         27178     15.086000      3.500000 
         27185     15.103000      3.500000 
         27188     15.121000      3.500000 
         27197     15.140000      3.500000 
         27202     15.157000      3.500000 
         27202     15.175000      3.500000 
         27207     15.193000      3.500000 
         27210     15.211000      3.500000 
         27215     15.229000      3.500000 
         27222     15.247000      3.500000 
